time_hm,mean,mean_m10,mean_p10
00:00,5.8,5.2,6.3
00:05,6,5.4,6.6
00:10,5.9,5.3,6.5
00:15,2.6,2.3,2.8
00:20,6.7,6,7.4
00:25,6.8,6.1,7.5
00:30,6.3,5.7,6.9
00:35,7.7,6.9,8.4
00:40,5.3,4.8,5.9
00:45,5.5,4.9,6
00:50,5.6,5,6.2
00:55,4.8,4.3,5.3
01:00,5.7,5.1,6.2
01:05,6,5.4,6.7
01:10,6.8,6.2,7.5
01:15,8.1,7.3,8.9
01:20,6.7,6,7.4
01:25,5.5,4.9,6
01:30,6.6,6,7.3
01:35,7.6,6.8,8.3
01:40,7.5,6.7,8.2
01:45,6.8,6.1,7.5
01:50,5.9,5.3,6.5
01:55,5.9,5.3,6.5
02:00,6.5,5.8,7.1
02:05,6.1,5.5,6.7
02:10,6.8,6.1,7.4
02:15,8.3,7.5,9.2
02:20,6.1,5.5,6.8
02:25,7.3,6.6,8
02:30,5,4.5,5.5
02:35,6,5.4,6.6
02:40,5.6,5.1,6.2
02:45,7.7,6.9,8.5
02:50,6.1,5.5,6.7
02:55,8.6,7.7,9.5
03:00,5.6,5,6.2
03:05,6.4,5.8,7.1
03:10,5.4,4.8,5.9
03:15,7.9,7.1,8.7
03:20,8.3,7.5,9.1
03:25,6.6,6,7.3
03:30,5.4,4.9,6
03:35,7.8,7.1,8.6
03:40,8.4,7.5,9.2
03:45,7.8,7,8.6
03:50,7.1,6.4,7.8
03:55,5.6,5,6.1
04:00,5.3,4.8,5.9
04:05,6.2,5.6,6.9
04:10,6,5.4,6.6
04:15,6.1,5.5,6.7
04:20,5.8,5.2,6.4
04:25,5.2,4.6,5.7
04:30,1.8,1.6,2
04:35,1.8,1.7,2
04:40,1,0.9,1.1
04:45,2.6,2.4,2.9
04:50,2.8,2.5,3.1
04:55,5.1,4.6,5.6
05:00,3,2.7,3.3
05:05,3.3,2.9,3.6
05:10,4.3,3.9,4.8
05:15,2.7,2.4,3
05:20,4.7,4.2,5.2
05:25,4.4,3.9,4.8
05:30,4.4,4,4.8
05:35,6,5.4,6.6
05:40,7.5,6.7,8.2
05:45,5.2,4.7,5.7
05:50,6.7,6.1,7.4
05:55,7.7,6.9,8.5
06:00,12.8,11.5,14
06:05,11.6,10.4,12.8
06:10,15.5,14,17.1
06:15,16.1,14.5,17.7
06:20,18.7,16.8,20.6
06:25,23.4,21,25.7
06:30,25.2,22.6,27.7
06:35,33.8,30.4,37.2
06:40,37,33.3,40.7
06:45,44.4,39.9,48.8
06:50,46.6,41.9,51.3
06:55,46.8,42.1,51.5
07:00,42,37.8,46.2
07:05,45.5,41,50.1
07:10,56.9,51.3,62.6
07:15,67.2,60.5,73.9
07:20,80.9,72.8,88.9
07:25,92.5,83.3,101.8
07:30,101.5,91.3,111.6
07:35,122,109.8,134.2
07:40,133.3,119.9,146.6
07:45,137.1,123.4,150.8
07:50,151.1,136,166.2
