latitude,longitude,level
-23.659819,-46.769985,3.0
-23.659965,-46.76956,3.0
-23.660038,-46.769392,3.0
-23.660098,-46.76925,3.0
-23.660183,-46.769065,3.0
-23.660312,-46.768782,3.0
-23.6604,-46.768622,3.0
-23.660549,-46.768325,3.0
-23.660637,-46.768093,3.0
-23.660606,-46.767887,3.0
-23.660548,-46.767696,3.0
-23.66048,-46.767498,3.0
-23.660356,-46.76728,3.0
-23.660258,-46.767139,3.0
-23.660131,-46.766995,3.0
-23.65971,-46.766593,3.0
,,
-23.659819,-46.769985,3.0
-23.659965,-46.76956,3.0
-23.660038,-46.769392,3.0
-23.660098,-46.76925,3.0
-23.660183,-46.769065,3.0
-23.660312,-46.768782,3.0
-23.6604,-46.768622,3.0
-23.660549,-46.768325,3.0
-23.660637,-46.768093,3.0
-23.660606,-46.767887,3.0
-23.660548,-46.767696,3.0
-23.66048,-46.767498,3.0
-23.660356,-46.76728,3.0
-23.660258,-46.767139,3.0
-23.660131,-46.766995,3.0
-23.65971,-46.766593,3.0
,,
-23.659819,-46.769985,3.0
-23.659965,-46.76956,3.0
-23.660038,-46.769392,3.0
-23.660098,-46.76925,3.0
-23.660183,-46.769065,3.0
-23.660312,-46.768782,3.0
-23.6604,-46.768622,3.0
-23.660549,-46.768325,3.0
-23.660637,-46.768093,3.0
-23.660606,-46.767887,3.0
-23.660548,-46.767696,3.0
-23.66048,-46.767498,3.0
-23.660356,-46.76728,3.0
-23.660258,-46.767139,3.0
-23.660131,-46.766995,3.0
-23.65971,-46.766593,3.0
,,
-23.599491,-46.651319,5
-23.601405,-46.651499,5
,,
