new_street,street
AV DR ABRAAO RIBEIRO,Av. Dr. Abraão Ribeiro
AV PROF ABRAAO DE MORAIS,Av. Prof. Abraão de Morais
AV DAS ACACIAS,Av. das Acácias
AV DA ACLIMACAO,Av. da Aclimação
R DO ACRE,R. do Acre
AV ADOLFO PINHEIRO,Av. Adolfo Pinheiro
AV ADUTORA DO RIO CLARO,Av. Adutora do Rio Claro
AV AFRANIO PEIXOTO,Av. Afrânio Peixoto
AV AGENOR COUTO DE MAGALHAES,Av. Agenor Couto de Magalhães
R AGUA RASA,R. Água Rasa
AV DR ALBERTO PENTEADO,Av. Dr. Alberto Penteado
AV ALCANTARA MACHADO,Av. Alcântara Machado
AV ALCANTARA MACHADO,Av. Alcântara Machado - Pista Lateral
AV ALCANTARA MACHADO,Av. Alcântara Machado - Pista Central
VD ALCANTARA MACHADO,Vd. Alcântara Machado
AV PROF ALCIDES SANGIRARDI,Av. Alcides Sangirardi
R ALFREDO PUJOL,R. Alfredo Pujol
R PRES ALMEIDA COUTO,R. Pres. Almeida Couto
AV PRES ALTINO,Av. Pres. Altino
ES DO ALVARENGA,Est. do Alvarenga
R ALVARENGA,R. Alvarenga
AV ALVARO MACHADO PEDROSA,Av. Álvaro Machado Pedrosa
AV ALVARO RAMOS,Av. Álvaro Ramos
R ALVES DOS SANTOS,R. Alves dos Santos
R ALVINOPOLIS,R. Alvinópolis
R AMADOR BUENO,R. Amador Bueno
AV AMADOR BUENO DA VEIGA,Av. Amador Bueno da Veiga
R AMARAL GURGEL,R. Amaral Gurgel
AL STO AMARO,Al. Santo Amaro
AV STO AMARO,Av. Santo Amaro - Pista Dir.
AV STO AMARO,Av. Santo Amaro
AV STO AMARO,Av. Santo Amaro - Pista Esq.
R GAL AMERICANO FREIRE,R. Gen. Americano Freire
AV DO ANASTACIO,Av. do Anastácio
AV DO ANASTACIO,Vd. do Anastácio
AV ANGELICA,Av. Angélica
PQ ANHANGABAU,Vale do Anhangabaú
R ANITA GARIBALDI,R. Anita Garibaldi
R DR ANTONIO BENTO,R. Dr. Antônio Bento
AV ANTONIO ESTEVAO DE CARVALHO,Av. Antônio Estevão de Carvalho
R ANTONIO MARCONDES,R. Antônio Marcondes
R GIUSEPPE BOSCHI,R. Giuseppe Boschi
R CARD ARCOVERDE,R. Cardeal Arcoverde
R ARI APS,R. Ari Aps
AV ARICANDUVA,Av. Aricanduva - Pista Central
AV ARICANDUVA,Ponte Aricanduva
AV ARICANDUVA,Av. Aricanduva
AV ARICANDUVA,Av. Aricanduva - Pista Local
AV ARISTON AZEVEDO,Av. Ariston Azevedo
AV PDE ARLINDO VIEIRA,Av. Pe. Arlindo Vieira
AV ENG ARMANDO DE ARRUDA PEREIRA,Av. Eng. Armando de Arruda Pereira
AV DR ARNALDO,Av. Dr. Arnaldo
AV ARNO,Av. Arno
AV ARNOLFO AZEVEDO,Av. Arnolfo Azevedo
R PROF ARISTOBULO DE FREITAS,R. Prof. Aristóbulo de Freitas
AV PROF ASCENDINO REIS,Av. Prof. Ascendino Reis
R ASDRUBAL DO NASCIMENTO,R. Asdrúbal do Nascimento
R ASSEMBLEIA,R. Assembleia
AV ASSIS CHATEAUBRIAND,Av. Assis Chateaubriand
AV ASSIS CHATEAUBRIAND,Av. Assis Chateaubriand - Pista Central
R DR ASSIS RIBEIRO,R. Dr. Assis Ribeiro
AV GAL ATALIBA LEONEL,Av. Gen. Ataliba Leonel
AV ATLANTICA,Av. Atlântica
R AUGUSTA,R. Augusta
LG MEST DE AVIZ,Lg. Mestre de Aviz
R BAIRI,R. Bairi
R BALSA,R. Balsa
ES DA BARONESA,Est. Da Baronesa
R BARTOLOMEU DO CANTO,R. Bartholomeu do Canto
R MAJ BASILIO,R. Maj. Basílio
R PDE BENEDITO DE CAMARGO,R. Pe. Benedito de Camargo
R BENEDITO LEITE DE AVILA,R. Benedito Leite de Ávila
R BERALDO MARCONDES,R. Beraldo Marcondes
AV BERNARDINO DE CAMPOS,Av. Bernardino de Campos
AV ENG BILLINGS,Av. Eng. Billings
AV BOLONHA,Av. Bolonha
R BOM PASTOR,R. Bom Pastor
R BORBA GATO,R. Borba Gato
R BORGES LAGOA,R. Borges Lagoa
AV DONA BELMIRA MARIN,Av. Dona Belmira Marin
AV BRASIL,Av. Brasil
AV BRAS DE ABREU,Av. Brás de Abreu
AV BRAZ LEME,Av. Braz Leme
R DOS BRASOES,R. dos Brasões
R BRESSER,R. Bresser
R BUTANTA,R. Butantã
AV INAJAR DE SOUZA,Av. Inajar de Souza
AV ENG CAETANO ALVARES,Av. Eng. Caetano Álvares
AV CIPRIANO RODRIGUES,Av. Cipriano Rodrigues
R CAMARGO,R. Camargo
LG DO CAMBUCI,Lg. do Cambuci
R CAMPO BELO,R. Campo Belo
AV MARIO LOPES LEAO,Av. Mário Lopes Leão
AV CANGAIBA,Av. Cangaiba
R COMEN CANTINHO,R. Comendador Cantinho
AV ZAKI NARCHI,Av. Zaki Narchi
VD S CARLOS,Vd. São Carlos
AV CARLOS DE CAMPOS,Av. Carlos de Campos
R CARLOS GOMES,R. Carlos Gomes
R CARLOS VICARI,R. Carlos Vicari
AV CONS CARRAO,Av. Conselheiro Carrão
AV CASA VERDE,Av. Casa Verde
AV PRES CASTELO BRANCO,Av. Pres. Castelo Branco
AV PRES CASTELO BRANCO,Pista Expressa Marg. Tietê
R CATIGUA,R. Catiguá
AV DUQ DE CAXIAS,Av. Duque de Caxias
AV CAXINGUI,Av. Caxingui
AV PROF CELESTINO BOURROUL,Av. Prof. Celestino Bourroul
AV CELSO GARCIA,Av. Celso Garcia
R CERRO CORA,R. Cerro Corá
R CHICO PONTES,R. Chico Pontes
AV CIDADE JARDIM,Av. Cidade Jardim
R CIRO SOARES DE ALMEIDA,R. Ciro Soares de Almeida
R CLELIA,R. Clélia
R CLIMACO BARBOSA,R. Clímaco Barbosa
R FREDERICO RENE DE JAEGHER,R. Frederico Rene de Jaegher
R COLOMBIA,R. Colômbia
LG DA CONCORDIA,Lg. da Concórdia
R DA CONSOLACAO,R. da Consolação
R DA CONSOLACAO,R. da Consolação - Pista Dir.
R DA CONSOLACAO,R. da Consolação - Pista Esq.
AV CORIFEU DE AZEVEDO MARQUES,Av. Corifeu de Azevedo Marques
R PDE CORREIA DE ALMEIDA,R. Pe. Correia de Almeida
ES DO CORREDOR,Est. do Corredor
VEL PRES ARTHUR DA COSTA E SILVA,Elevado Pres. João Goulart
AV CRUZEIRO DO SUL,Av. Cruzeiro do Sul
AV CUPECE,Av. Cupecê
AV DO CURSINO,Av. do Cursino
R CURUCA,R. Curuçá
AV DANFER,Av. Danfer
AV ALM DELAMARE,Av. Alm. Delamare
AV DEZENOVE DE JANEIRO,Av. 19 de Janeiro
R DIANOPOLIS,R. Dianópolis
AV GAL EDGAR FACO,Av. Gen. Edgar Facó
R DOMINGOS DE MORAIS,R. Domingos de Morais
VD DOMINGOS DE MORAES,Vd. Domingos de Morais
AV DAS NACOES UNIDAS,Av. das Nações Unidas
AV DR EDUARDO COTCHING,Av. Dr. Eduardo Cotching
AV ELLIS MAAS,Av. Ellis Maas
AV CDSSA ELISABETH DE ROBIANO,Av. Condessa Elisabeth de Robiano
AV MARQ DE SAO VICENTE,Av. Marquês de São Vicente
AV ERMANO MARCHETTI,Av. Ermano Marchetti
AV DO ESTADO,Av. do Estado - Pista Central
AV DO ESTADO,Av. do Estado - Pista Dir.
R ESTELA,R. Estela
AV ESTEVAO DE ALBUQUERQUE,Av. Estevão de Albuquerque
R STA EULALIA,R. Santa Eulália
AV EUROPA,Av. Europa
AV EUSEBIO MATOSO,Av. Eusébio Matoso
AV BRIG FARIA LIMA,Av. Brigadeiro Faria Lima
AV REG FEIJO,Av. Regente Feijó
R FREI FIDELIS MOTA,R. Frei Fidélis Mota
R DA FIGUEIRA,R. da Figueira
R FIORELLI PECCICACCO,Av. Fiorelli Peccicacco
R DR FLAVIO AMERICO MAURANO,R. Dr. Flávio Américo Maurano
AV PROF FONSECA RODRIGUES,Av. Prof. Fonseca Rodrigues
AV FRANCISCO MATARAZZO,Túnel Av. Francisco Matarazzo
AV FRANCISCO MATARAZZO,Av. Francisco Matarazzo
AV DR FRANCISCO MESQUITA,Av. Dr. Francisco Mesquita
AV PROF FRANCISCO MORATO,Av. Prof. Francisco Morato
AV CD DE FRONTIN,Av. Conde de Frontin
R FUNCHAL,R. Funchal
AV GAL FURTADO NASCIMENTO,Av. Gen. Furtado do Nascimento
AV S GABRIEL,Av. São Gabriel
AV GABRIELA MISTRAL,Av. Gabriela Mistral
R DO GASOMETRO,R. do Gasômetro
VD GASOMETRO,Vd. do Gasômetro
AV GASPAR VAZ DA CUNHA,Av. Gaspar Vaz da Cunha
AV DR GASTAO VIDIGAL,Av. Dr. Gastão Vidigal
R BRIG GAVIAO PEIXOTO,R. Brig. Gavião Peixoto
AV DR GENTIL DE MOURA,Av. Dr. Gentil de Moura
AV SARG GERALDO SANT ANA,Av. Sarg. Geraldo Santana
R GERIVATIBA,R. Gerivatiba
AV GIOVANNI GRONCHI,Av. Giovanni Gronchi
R GLICERIO,R. do Glicério
R GROENLANDIA,R. Groenlândia
VD GUADALAJARA,Vd. Guadalajara
R GUAICURUS,R. Guaicurus
AV S GUALTER,Av. São Gualter
AV GUAPIRA,Av. Guapira
AV GUARAPIRANGA,Av. Guarapiranga
AV GUILHERME COTCHING,Av. Guilherme Cotching
VD GUILHERME DE ALMEIDA,Vd. Guilherme de Almeida
AV DR GUILHERME DUMONT VILARES,Av. Dr. Guilherme Dumont Villares
AV ENG HEITOR ANTONIO EIRAS GARCIA,Av. Eng. Heitor Antônio Eiras Garcia
R HEITOR PENTEADO,R. Heitor Penteado
AV IBIRAPUERA,Av. Ibirapuera
R IBITIRAMA,R. Ibitirama
R IGUATEMI,R. Iguatemi
